Title,Rating,Votes,Time,Genre,Stars
Hell Is Other People,7.9,"3,395",60 min,"Crime, Horror, Mystery","Si-wan Yim, Lee Dong-Wook, Lee Jeong-eun, Hyun-Wook Lee"
Moon Lovers: Scarlet Heart Ryeo,8.7,"6,971",60 min,"Drama, Fantasy, History","Lee Joon-Gi, Ji-eun Lee, Kang Ha-Neul, Nam Joo-Hyuk"
Something in the Rain,8.1,"5,036",75 min,"Drama, Romance","Son Ye-jin, Jung Hae-In, Joo Min-Kyung, Kim Chang-wan"
Arthdal Chronicles,8.4,"3,771",80 min,"Action, Drama, Fantasy","Song Joong-ki, Kim Ji-Won, Jang Dong-Gun, Kim Ok-bin"
Reply 1988,9.1,"5,643",90 min,"Comedy, Drama, Family","Hyeri Lee, Go Kyung-Pyo, Ryu Jun-Yeol, Park Bo-Gum"
Teenage Mutant Ninja Turtles,7.9,"32,617",23 min,"Animation, Action, Adventure","Cam Clarke, Barry Gordon, Rob Paulsen, Townsend Coleman"
The Uncanny Counter,8.1,"4,450",65 min,"Action, Fantasy, Horror","Byeong-gyu Jo, Joon-Sang Yoo, Se-Jeong Kim, Yeom Hye-ran"
Sijipeuseu: The Myth,7.1,"3,121",70 min,"Action, Drama, Fantasy","Cho Seung-woo, Park Shin-Hye, In-ho Tae, Halley Kim"
The K2,7.8,"5,071",60 min,"Drama, Romance, Thriller","Ji Chang-Wook, Song Yun-ah, Im Yoon-ah, Jo Sung-ha"
Big City Greens,7.2,"1,695",22 min,"Animation, Adventure, Comedy","Chris Houghton, Marieve Herington, Bob Joles, Artemis Pebdani"
While You Were Sleeping,8.4,"5,868",30 min,"Comedy, Drama, Fantasy","Bae Suzy, Lee Jong-Suk, Jung Hae-In, Lee Sang-Yeob"
Money Heist Korea,-,-,60 min,"Action, Crime, Drama",-
Mr. Queen,8.8,"3,582",70 min,"Comedy, Fantasy, Romance","Hye-Sun Shin, Kim Jung-hyun, Seol In-ah, Jae-won Lee"
My Mister,9.1,"4,827",70 min,"Drama, Family","Sun-kyun Lee, Ji-eun Lee, Ji-Ah Lee, Park Ho-San"
Hospital Playlist,8.8,"4,075",84 min,"Comedy, Drama","Jo Jung-Suk, Yoo Yeon-Seok, Jung Kyung-ho, Dae-Myung Kim"
The Penthouse: War in Life,8.1,"2,004",70 min,"Crime, Drama, Mystery","Kim So-yeon, Eun-Kyung Shin, Ki-joon Uhm, Tae-gyu Bong"
The World of the Married,8.1,"2,195",80 min,"Drama, Romance","Kim Hee-ae, Park Hae-joon, Han So-hee, Kim Young-min"
Chimera,8.3,72,-,"Mystery, Thriller","Lee Hee-joon, Nam Gi-Ae, Joon-seok Heo, Woo Hyeon"
Teenage Mutant Ninja Turtles,7.8,"9,571",30 min,"Animation, Action, Adventure","Michael Sinterniklaas, Wayne Grayson, Gregory Abbey, Sam Riegel"
Boys Over Flowers,7.9,"10,628",70 min,"Comedy, Drama, Romance","Ku Hye-Sun, Lee Min-Ho, Kim Hyun-joong, Kim Bum"
Just Between Lovers,8.2,"1,390",70 min,"Drama, Romance","Jun-Ho Lee, Jin-ah Won, Ki-woo Lee, Kang Han-na"
Melancholia,7.6,124,-,"Drama, Romance","Woo Da-Vi, Lim Soo-jung, Lee Do-Hyun, Choi Dae-hoon"
Romance Is a Bonus Book,8,"4,300",62 min,Romance,"Lee Na-Young, Lee Jong-Suk, Jeong Eu-Gene, Wi Ha-Joon"
W,8.1,"8,586",60 min,"Drama, Fantasy, Romance","Lee Jong-Suk, Han Hyo-joo, Eui-sung Kim, Jeong Eu-Gene"
The Empress Ki,8.5,"2,324",-,"Action, Drama, History","Ha Ji-Won, Ji Chang-Wook, Hye-Rin Han, Ju Jin-Mo"
The Devil Judge,8.4,"1,476",75 min,"Crime, Drama, Mystery","Seong Ji, Min-Jung Kim, Jinyoung Park, Jae-kyung Kim"
Doom at Your Service,8.1,"2,476",65 min,"Drama, Fantasy, Romance","Park Bo-Young, Seo In-Guk, Lee Soo-hyuk, Tae-oh Kang"
Legend of the Blue Sea,8.1,"7,481",60 min,"Comedy, Fantasy, Romance","Jun Ji-hyun, Lee Min-Ho, Lee Hee-joon, Shin Won Ho"
Run On,7.6,"2,226",70 min,"Drama, Romance","Si-wan Yim, Shin Se-Kyung, Sooyoung Choi, Tae-oh Kang"
My Roommate Is a Gumiho,7.9,"1,836",65 min,"Comedy, Fantasy, Romance","Jang Ki-Yong, Hyeri Lee, Kang Han-na, Kim Do-Wan"
Yumi's Cells,8.5,"1,287",70 min,"Comedy, Drama, Romance","Kim Go-eun, Ahn Bo-Hyun, Sang-yi Lee, Jinyoung Park"
Hwarang: The Poet Warrior Youth,8,"3,115",60 min,"Comedy, Drama, History","Seo Jun Park, Go Ara, Park Hyung-Sik, Choi Minho"
My Love from Another Star,8.2,"11,092",60 min,"Comedy, Drama, Fantasy","Jun Ji-hyun, Kim Soo-hyun, Park Hae-Jin, Yoo In-Na"
Law School,8.1,"1,701",65 min,"Crime, Drama, Mystery","Myung-Min Kim, Kim Bum, Hye-young Ryu, Lee Jeong-eun"
Heirs,7.5,"9,374",55 min,"Comedy, Drama, Romance","Lee Min-Ho, Park Shin-Hye, Woo-bin Kim, Kim Ji-Won"
Encounter,7.3,"1,234",60 min,"Drama, Romance","Park Bo-Gum, Song Hye-Kyo, Sun-Young Kwak, Seung-jo Jang"
The Transformers,8,"21,341",30 min,"Animation, Action, Adventure","Frank Welker, Peter Cullen, Corey Burton, Christopher Collins"
Healer,8.4,"7,340",60 min,"Action, Comedy, Crime","Ji Chang-Wook, Park Min-Young, Tae-Mi, Yoo Ji-Tae"
Secret Royal Inspector Joy,7.8,144,-,"Comedy, Drama, History","Nam Mi-Jung, Taecyeon, Kim Hye-Yoon, Jung Soon-won"
Black,7.9,"3,402",50 min,"Crime, Drama, Fantasy","Song Seung-heon, Go Ara, Lee El, Jo Jae-yoon"
Voice,7.6,"1,716",60 min,"Action, Crime, Mystery","Lee Hana, Eun-seo Son, Song Boo-gun, Kim Joong-Ki"
A Wonderful Sight,6.6,125,70 min,"Action, Comedy, Thriller","Lee Yeong-ae, Hye-jun Kim, Kim Hae-sook, Sun-Young Kwak"
Love Alarm,7,"4,483",50 min,"Comedy, Drama, Romance","Kim So-Hyun, Song Kang, Ga-ram Jung, Go Min-Si"
Dali and the Cocky Prince,8.2,393,70 min,"Comedy, Drama, Romance","Kwon Yul, Park Gyuyoung, Min-Jae Kim, Yeonwoo"
18 Again,8.2,"1,326",70 min,"Comedy, Fantasy, Romance","Ha-neul Kim, Yoon Sang-Hyun, Lee Do-Hyun, No Jeong-ee"
Signal,8.6,"5,824",80 min,"Crime, Drama, Fantasy","Lee Jehoon, Kim Hye-su, Cho Jin-woong, Hyun-Sung Jang"
Bad and Crazy,9.1,20,-,"Crime, Mystery","Lee Dong-Wook, Han Ji-Eun, Hak-Yeon Cha, Wi Ha-Joon"
Alhambeura Goongjeonui Chooeok,7.8,"4,902",60 min,"Drama, Romance, Sci-Fi","Park Shin-Hye, Hyun Bin, Jin-Woong Min, Park Hoon"
A Korean Odyssey,8.1,"4,087",75 min,"Comedy, Fantasy, Horror","Lee Seung-gi, Seung-Won Cha, Yeon-Seo Oh, Hong-ki Lee"
Taxi Driver,8.2,"1,320",70 min,"Action, Crime, Drama","Lee Jehoon, Esom, Eui-sung Kim, Pyo Ye-Jin"
Lawless Lawyer,7.6,"1,335",60 min,"Action, Drama, Thriller","Lee Joon-Gi, Seo Ye-Ji, Lee Hye-yeong, Min-su Choi"
Star Wars: Clone Wars,7.8,"24,894",133 min,"Animation, Action, Adventure","Mat Lucas, James Arnold Taylor, André Sogliuzzo, Grey Griffin"
Alvinnn!!! And the Chipmunks,4.6,"1,304",11 min,"Animation, Comedy, Family","Ross Bagdasarian Jr., Janice Karman, Vanessa Bagdasarian, Bettina Kenney"
Her Private Life,7.7,"2,912",75 min,"Comedy, Romance","Ahn Bo-Hyun, Park Jin-Joo, Bo-ra Kim, Jung Je-Won"
The Veil,7.7,475,-,"Action, Crime, Drama","Min Namkoong, Ha-seon Park, Ji-Eun Kim, Kim Do-Hyun"
Running Man,9,"2,938",80 min,"Comedy, Game-Show, Reality-TV","Jae-Suk Yoo, Jong-Kook Kim, Haha, Kwang-Soo Lee"
My Country: The New Age,8.3,"1,648",80 min,"Action, Drama, History","Yang Se-Jong, Woo Do-Hwan, Jang Hyuk, Seol-Hyun Kim"
100 Days My Prince,7.7,"1,659",75 min,"Action, Comedy, History","Kyung-soo Do, Nam Ji-Hyun, Jo Sung-ha, Jo Han-chul"
Record of Youth,7.3,"1,925",70 min,"Drama, Romance","Park Bo-Gum, So-dam Park, Woo-Seok Byeon, Shin Dong-mi"
Oh My Venus,7.8,"4,237",60 min,"Comedy, Drama, Romance","So Ji-seob, Shin Min-a, Sung Hoon, Henry Lau"
One Spring Night,7.9,"2,102",35 min,"Drama, Romance","Jung Hae-In, Han Ji-min, Jun-han Kim, Yi-An Ha"
In the SOOP BTS Ver.,9.5,593,-,Reality-TV,"RM, Jin, Suga, J-Hope"
Weightlifting Fairy Kim Bok-Joo,8.4,"6,987",60 min,"Comedy, Romance","Lee Song-Kyoung, Nam Joo-Hyuk, Jae-yoon Lee, Hye-Jung Cho"
Tower of God,7.7,"4,621",23 min,"Animation, Action, Adventure","Matthew David Rudd, Cherami Leigh, Johnny Yong Bosch, Scott Whyte"
Æon Flux,7.8,"6,064",30 min,"Animation, Adventure, Sci-Fi","Denise Poirier, John Rafter Lee, Julia Fletcher, Alex Fernandez"
Lovers of the Red Sky,7.8,556,70 min,"Drama, Fantasy, History","Kim Yoo-jeong, Ahn Hyo-Seop, Myoung Gong, Si-Yang Kwak"
The God of High School,7.3,"5,081",24 min,"Animation, Action, Adventure","Robbie Daymond, Tara Sands, Landon McDonald, Tatsumaru Tachibana"
Rookie Historian Goo Hae-Ryung,8.2,"1,633",35 min,"Drama, History, Romance","Shin Se-Kyung, Cha Eun-Woo, Ji-Hoon Lee, Gi-woong Park"
Extraordinary You,7.8,"2,335",35 min,"Comedy, Fantasy, Romance","Kim Hye-Yoon, Kim Ro Woon, Jae-Wook Lee, Na-Eun Lee"
Prison Playbook,8.5,"2,752",90 min,"Comedy, Drama","Park Hae-soo, Jung Kyung-ho, Krystal Jung, Kyoo-hyung Lee"
Craig of the Creek,7.1,"1,886",30 min,"Animation, Short, Adventure","Philip Solomon, Michael Croner, Noël Wells, Ben Levin"
My Secret Romance,7.1,"2,773",47 min,"Comedy, Romance","Ji-eun Song, Sung Hoon, Jae-young Kim, Da-Sol Jeong"
Skylanders Academy,6.6,693,25 min,"Animation, Action, Adventure","Justin Long, Ashley Tisdale, Jonathan Banks, Chris Diamantopoulos"
Fight for My Way,8.1,"5,038",70 min,"Comedy, Romance","Seo Jun Park, Kim Ji-Won, Jae-hong Ahn, Song Ha-Yoon"
Because This Is My First Life,8.1,"3,708",70 min,"Comedy, Drama, Romance","Lee Min-ki, Jung So-Min, Esom, Byeong-eun Park"
Touch Your Heart,7.7,"2,463",60 min,"Comedy, Romance","Lee Dong-Wook, Sang-woo Lee, Sung Yoon Son, Oh Jeong-Se"
New World,8.2,61,-,Reality-TV,"Kai, Lee Seung-gi, Hee-chul Kim, Bo Ah Cho"
Save Me,8,"1,249",60 min,"Mystery, Thriller","Jo Jae-yoon, Ho-jin Chun, Tae-goo Eom, Esom"
Dr. Romantic,8.3,"1,908",60 min,"Drama, Romance","Han Suk-kyu, Woo-min Byeon, Jin Kyung, Min-Jae Kim"
The Marvelous Misadventures of Flapjack,7.8,"13,068",11 min,"Animation, Short, Adventure","Brian Doyle-Murray, Thurop Van Orman, Jeff Bennett, Steve Little"
Pinocchio,8.1,"6,276",59 min,"Drama, Mystery, Romance","Lee Jong-Suk, Park Shin-Hye, Lee Pil-mo, Kim Hae-sook"
Search: WWW,7.9,"1,073",70 min,"Drama, Romance","Lim Soo-jung, Hye-jin Jeon, Lee Da-hee, Jang Ki-Yong"
Suspicious Partner,7.9,"4,082",30 min,"Comedy, Crime, Romance","Ji Chang-Wook, Nam Ji-Hyun, Choi Tae-Joon, Nara"
Navillera,8.8,"1,692",60 min,Drama,"In-hwan Park, Song Kang, Moon-hee Na, Hong Seung-hee"
Mine,7.8,966,70 min,"Drama, Mystery","Lee Bo-young, Kim Seo-hyeong, Ja-Yeon Ok, Hyun-Wook Lee"
She Was Pretty,7.7,"4,388",60 min,"Comedy, Romance","Hwang Jeong-eum, Seo Jun Park, Jun-hee Ko, Si Won Choi"
Eobiseu,7.1,"1,750",60 min,"Crime, Fantasy, Romance","Park Bo-Young, Ahn Hyo-Seop, Lee Si-eon, Sung-Jae Lee"
Secret Garden,8.1,"6,270",60 min,"Comedy, Drama, Fantasy","Ha Ji-Won, Hyun Bin, Yoon Sang-Hyun, Sa-rang Kim"
School 2021,8,23,-,"Romance, Comedy","Kim Yo-han, Young Woo Chu, Yi-Hyun Cho, Hwang Boreum-Byeol"
I'm Not a Robot,8,"4,301",35 min,"Comedy, Romance, Sci-Fi","Seung-eon Hwang, Se-wan Park, Yoo Seung-ho, Chae Soo-bin"
SKY Castle,8.7,"2,425",75 min,"Drama, Mystery","Jung-ah Yum, Tae-ran Lee, Yun Se-ah, Na-ra Oh"
Uncontrollably Fond,7.8,"2,437",60 min,"Drama, Romance","Woo-bin Kim, Bae Suzy, Ju-hwan Lim, Lim Ju-Eun"
Cinderella and the Four Knights,7.3,"3,337",60 min,"Comedy, Romance","Il-Woo Jung, Ahn Jae-Hyun, So-dam Park, Jung Shin Lee"
She Would Never Know,7.5,458,65 min,"Romance, Drama","Jin-ah Won, Kim Ro Woon, Hyun-Wook Lee, Joo-Bin Lee"
Good Doctor,8.1,"1,719",65 min,"Drama, Romance","Joo Won, Moon Chae-Won, Sang-uk Joo, Gyo-jin In"
Chief of Staff,8,457,60 min,Drama,"Lee Jung-jae, Shin Min-a, Dong-jun Kim, Kim Kap-su"
The 1st Shop of Coffee Prince,8.2,"4,963",55 min,"Comedy, Drama, Romance","Gong Yoo, Yun Eun-hye, Sun-kyun Lee, Jeong-an Chae"
The Bride of Habaek,6.9,"2,216",70 min,"Fantasy, Romance","Nam Joo-Hyuk, Shin Se-Kyung, Ju-hwan Lim, Kyu Sun Park"
Mad for Each Other,7.9,"1,211",30 min,"Comedy, Drama, Romance","Woo Jung, Yeon-Seo Oh, Su-Hyun Lee, Lee Hye-Ra"
Chip 'n' Dale Rescue Rangers,7.6,"18,425",22 min,"Animation, Action, Adventure","Corey Burton, Tress MacNeille, Jim Cummings, Peter Cullen"
Totally Spies!,7,"9,636",22 min,"Animation, Action, Adventure","Janice Kawaye, Charlie Schlatter, Andrea Baker, Jennifer Hale"
My ID Is Gangnam Beauty,7.4,"3,167",60 min,"Comedy, Romance","Soo-hyang Im, Cha Eun-Woo, Woo-Ri Jo, Kwak Dong-yeon"
Young Lady and Gentleman,8.9,25,70 min,"Comedy, Drama, Family","Garrison Michael Farquharson-Keener, Kim Young-ok, Lee Se-Hee, Hyun-Woo Ji"
Youth of May,8.6,773,65 min,"Drama, History, Romance","Lee Do-Hyun, Go Min-Si, Sang-yi Lee, Sae-Rok Keum"
Son: The Guest,8.2,"1,327",65 min,"Drama, Horror, Mystery","Dong-wook Kim, Kim Jae-Wook, Jung Eun-chae, Park Ho-San"
Muppet Babies,6.6,558,23 min,"Animation, Short, Adventure","Matt Danner, Dee Bradley Baker, Eric Bauza, Melanie Harrison"
The Crowned Clown,7.9,703,80 min,"Drama, History, Romance","Yeo Jin-gu, Se-yeong Lee, Kim Sang-kyung, Hae-hyo Kwon"
Backstreet Rookie,7.5,"1,704",60 min,"Action, Comedy, Romance","Kim Yoo-jeong, Ji Chang-Wook, Sun Hwa Han, Eum Moon Suk"
When the Camellia Blooms,8,"2,091",30 min,"Comedy, Drama, Romance","Kong Hyo-Jin, Ji-seok Kim, Kang Ha-Neul, Oh Jeong-Se"
Doctor Stranger,7.4,"2,406",60 min,"Action, Drama, Romance","Lee Jong-Suk, Se-Yeon Jin, Ho-jin Chun, Park Hae-joon"
When the Weather is Fine,7.9,959,60 min,"Drama, Romance","Park Min-Young, Seo Kang-Joon, Jung-hee Moon, Jae-Wook Lee"
So I Married My Anti-Fan,7.5,992,62 min,"Comedy, Music, Romance","Choi Tae-Joon, Sooyoung Choi, Hwang Chan-sung, Sun-hyuk Kim"
Rugal,6.3,791,60 min,"Action, Crime, Sci-Fi","Choi Jin-Hyuk, Dong-Hyuk Cho, Hye-in Jeong, Min-Sang Kim"
City Hunter,8.1,"5,469",60 min,"Action, Romance, Thriller","Lee Min-Ho, Park Min-Young, Sang-Jung Kim, Ho-jin Chun"
Love in the Moonlight,7.8,"2,598",60 min,"Comedy, Drama, Romance","Park Bo-Gum, Kim Yoo-jeong, Kwak Dong-yeon, Chae Soo-bin"
Tempted,7.2,"1,529",32 min,"Drama, Mystery, Romance","Woo Do-Hwan, Soo-Young Park, Moon Ga-young, Min-Jae Kim"
Rocko's Modern Life,7.9,"20,054",30 min,"Animation, Comedy","Carlos Alazraqui, Tom Kenny, Charlie Adler, Mr. Lawrence"
Find Me in Your Memory,7.4,614,35 min,"Fantasy, Mystery, Romance","Dong-wook Kim, Moon Ga-young, Seung-Joon Lee, Lee Jin Hyuk"
Eulachacha Waikiki,8.3,"1,737",65 min,"Comedy, Drama","Yi-Kyeong Lee, Kim Jung-hyun, In-sun Jung, Son Seung-Won"
Yungnyong-i Nareusya,8.9,877,-,"Drama, History","Yoo Ah-in, Yo-Han Byun, Myung-Min Kim, Shin Se-Kyung"
One the Woman,7.4,226,-,"Comedy, Romance","Lee Hanee, Sang-yoon Lee, Seo-Yeon Jin, Won-geun Lee"
Haereul poomeun dal,8,"2,197",-,"Drama, Fantasy, Romance","Mi-seon Jeon, Mi-kyeong Yang, Eung-soo Kim, Eun-pyo Jeong"
Aelliseu,7.2,913,70 min,"Drama, Fantasy, Mystery","Kim Hee-seon, Joo Won, Da-In Lee, Choi Wonyoung"
Dramaworld,7.4,"1,711",15 min,"Short, Comedy, Drama","Liv Hewson, Sean Dulake, Noo-Ri Bae, Ha Ji-Won"
Oh My Ghost,8,"4,026",60 min,"Comedy, Drama, Fantasy","Park Bo-Young, Jo Jung-Suk, Ju-hwan Lim, Seul-gi Kim"
Dream High,7.6,"2,670",70 min,"Comedy, Music, Romance","J.Y. Park, Kim Soo-hyun, Bae Suzy, Ji-eun Lee"
Live Up to Your Name,7.9,"1,032",60 min,"Drama, Fantasy, Romance","Nam-gil Kim, Kim Ah-jung, Seo Jung-Yeon, Jin Ju-hyeong"
My Strange Hero,7.1,697,35 min,"Comedy, Drama","Yoo Seung-ho, Jo Bo-ah, Kwak Dong-yeon, Kim Mi-Kyung"
Beauty Inside,7.5,"1,526",70 min,"Drama, Fantasy, Romance","Hyeon-jin Seo, Lee Min-ki, Lee Da-hee, Ahn Jae-Hyun"
A Love So Beautiful,7.4,693,-,"Comedy, Romance","Joo-yeon So, Kim Yo-han, Hoi-Hyeon Yeo, Hye-Jo Cho"
Baby Shark's Big Show!,1.8,378,24 min,"Animation, Short, Adventure","Kimiko Glenn, Luke Youngblood, Natasha Rothwell, Debra Wilson"
Lost,8.5,200,-,Drama,"Jeon Do-yeon, Ryu Jun-Yeol, Ji-Young Park, Yoo Su-bin"
Mystic Pop-up Bar,8,"1,693",70 min,"Comedy, Fantasy, Mystery","Hwang Jeong-eum, Sung-Jae Yook, Choi Wonyoung, Lee Joon-hyuk"
Melting Me Softly,6.9,"1,133",70 min,"Comedy, Drama, Fantasy","Ji Chang-Wook, Jin-ah Won, Yun Se-ah, Kim Won-Hae"
Busted!,7.7,827,90 min,"Comedy, Reality-TV","Jae-Suk Yoo, Park Min-Young, Se-hun Oh, Jong-min Kim"
Catch the Ghost,7.5,337,70 min,"Comedy, Drama, Mystery","Moon Geun-young, Kim Seon-Ho, Jeong Eu-Gene, Ki Do-Hoon"
You Are My Spring,7.4,397,70 min,"Drama, Romance, Thriller","Hyeon-jin Seo, Dong-wook Kim, Bak Yoon, Gyu-ri Nam"
Designated Survivor: 60 Days,8.2,"1,058",70 min,"Drama, Thriller","Jin-hee Ji, Joon-ho Huh, Kang Han-na, Lee Joon-hyuk"
"Kill Me, Heal Me",8.3,"4,510",60 min,"Comedy, Drama, Romance","Seong Ji, Hwang Jeong-eum, Kim Hee-Jung, Shim Hye-jin"
Soolkkundoshiyeojadeul,8.4,84,-,"Comedy, Drama","Sun-Bin Lee, Sun Hwa Han, Eun-ji Jung, Si Won Choi"
Good Manager,7.8,834,60 min,"Comedy, Drama","Min Namkoong, Sang-mi Nam, Jun-Ho Lee, Hwa-Young Im"
Camp Lazlo!,6.4,"9,350",30 min,"Animation, Short, Adventure","Carlos Alazraqui, Tom Kenny, Jeff Bennett, Steve Little"
Let Me Be Your Knight,8.5,24,70 min,"Comedy, Drama, Music","Joon-Young Lee, In-sun Jung, Donghyun Kim, J.R."
Investigation Partners,8.3,595,35 min,"Crime, Drama, Thriller","Jae-yeong Jeong, Yu-mi Jeong, Oh Man-seok, Kim Young-woong"
My First First Love,7.5,"1,903",50 min,Drama,"Tae-oh Kang, Ji Soo, Chae-Yeon Jung, Jung Jinyoung"
